Year,State,Outcome,Polls,Unemployment,Last Election,ISM
2012,ARIZONA,R,7.5,-0.5,1,52.2
2012,COLORADO,D,-1.5,0.2,0,52.2
2012,FLORIDA,D,1.5,-0.9,0,52.2
2012,IOWA,D,-2.4,-0.2,0,52.2
2012,MINNESOTA,D,-5.2,0.2,0,52.2
2012,NEVADA,D,-2.8,-0.9,0,52.2
2012,NEW HAMPSHIRE,D,-2,0.5,0,52.2
2012,NORTH CAROLINA,R,3,-0.6,0,52.2
2012,OHIO,D,-2.9,-0.7,0,52.2
2012,PENNSYLVANIA,D,-3.8,0.6,0,52.2
2012,VIRGINIA,D,-0.3,0.1,0,52.2
2012,WISCONSIN,D,-4.2,0.4,0,52.2
2012,MISSOURI,R,10.2,-0.5,1,52.2
2012,MICHIGAN,D,-4,-0.2,0,52.2
2012,OREGON,D,-6,-0.3,0,52.2
2008,INDIANA,D,1.4,1.8,1,49.9
2008,COLORADO,D,-5.5,1,1,49.9
2008,FLORIDA,D,-1.8,2,1,49.9
2008,GEORGIA,R,4,1.6,1,49.9
2008,IOWA,D,-15.3,0.6,1,49.9
2008,MINNESOTA,D,-9.8,1,0,49.9
2008,NEVADA,D,-6.5,1.8,1,49.9
2008,NEW HAMPSHIRE,D,-10.6,0.6,0,49.9
2008,NORTH CAROLINA,D,0.4,2.1,1,49.9
2008,OHIO,D,-2.5,2.3,1,49.9
2008,PENNSYLVANIA,D,-7.3,0.8,0,49.9
2008,VIRGINIA,D,-4.4,0.9,1,49.9
2008,WISCONSIN,D,-11,0.1,0,49.9
2008,MISSOURI,R,0.7,1.2,1,49.9
2008,MICHIGAN,D,-13.5,1.4,0,49.9
2008,OREGON,D,-15.6,2,0,49.9
2004,COLORADO,R,5.2,-0.7,1,56.5
2004,FLORIDA,R,0.6,0.2,1,56.5
2004,IOWA,R,0.3,0.6,0,56.5
2004,MINNESOTA,D,-3.2,0,0,56.5
2004,NEVADA,R,6.3,-0.6,1,56.5
2004,NEW HAMPSHIRE,D,-1,-0.6,1,56.5
2004,OHIO,R,2.1,-0.2,1,56.5
2004,PENNSYLVANIA,D,-0.9,0,0,56.5
2004,WISCONSIN,D,0.9,0,0,56.5
2004,MISSOURI,R,4.2,0.5,1,56.5
2004,MICHIGAN,D,-3.5,0.2,0,56.5
2004,OREGON,D,-4.8,-0.6,0,56.5
2004,ARKANSAS,R,6.5,-0.3,1,56.5
2004,HAWAII,D,0.9,-0.7,0,56.5
2004,MAINE,D,-9.5,-0.2,0,56.5
2004,NEW JERSEY,D,-7,-0.7,0,56.5
2004,NEW MEXICO,R,1.4,-0.5,0,56.5
2004,WEST VIRGINIA,R,8.5,-1.9,1,56.5